BJCD,SGG_NAME,YEAR,SERVICE_BUSINESS_COUNT,TRANSPORT_BUSINESS_COUNT,MANUFACTURING_BUSINESS_COUNT,YTH_EMP_RT,INFECT_DIS_CT,TRAFFIC_DTH_CT,T_SUICIDE_RT_100K,CLIMATE_DMG_IMPACT,TRAFFIC_ACC_PER_100K,FIRE_ACC_PER_100K,FIRE_DTH_CT,FIRE_DMG,TEACHERS,UNIVERSITIES,UNIVERSITY_ADMISSION_RATE,KINDERGARTEN_TEACHERS,STUDENTS_PER_HIGH_CLASS,PRIVATE_ACADEMIES,MAX_TEMP,MIN_TEMP,AVG_WIND_SPD,MAX_GUST_SPD,MAX_GUST_DIR_DEG,TOTAL_RAIN,HOSPITAL_COUNT,WELFARE_FACILITY,PHC_CNT,DOCTORS,CLINIC,GEN_HOSP,BED_TOTAL,HIGH_RISK_DRINK_RT,WELFARE_RATIO,STRESS_AWARE_SOCIAL_PROT,SELF_HEALTH_AWARE_RT,GENDER_RATIO,FOREIGNERS,SELF_FINANCE,CMR,LAND_AREA,TFR,SINGLE_HOUSEHOLD_RATIO,COMMERCIAL_AREA,INDUSTRIAL_AREA,CAR_REGISTRATION_PER_CAPTICA,RENTAL_NATIONAL,RENTAL_PERMANENT,RENTAL_HAPPY,WATER_SUPPLY_RATE,HOUSE_CNT,SEWERAGE_SUPPLY_RATE,GREEN_RT,PARK,CULTURE,SPORTS_FACILITIES,YOUTH_NET_MOVE_RATE
11620,서울특별시 관악구,2020,8.670701951,6.708181759,399.14,54.4,74.33,2.63,29.2,0,291.7,44,1.62,14.92046542,929.79,0.2,58.4,54.13,22.77,87.06,34.7,-14.2,1.5,14.4,288.3,1665.8,2.22,3.43,0.2,118.57,4.199455047,0.2,496.71,13.4,49.46,32.2,60.7,100.7,2978.02,19.3,520,136.95,0.474,51.9,0.16,0,9.903537551,0,0,0,100,25768.19,100,46.83,19.59,2.22,0.2,3.6
11650,서울특별시 서초구,2020,9.584787354,6.967777366,402.23,38.9,142.55,2.12,18.1,0,529.3,57,2.12,15.17935035,1013.58,0.24,48.3,51.51,25.14,270.04,36.6,-12,1.5,11.9,129.4,1607.5,3.06,3.29,0.24,493.74,5.060440816,0,866.1,10.9,38.42,29.2,69,91.7,917.14,54.7,440,590.65,0.656,28.1,0.73,0,10.59665973,103.5,254.98,0,100,31409.04,100,56.9,32.7,5.17,1.41,-1.9
11680,서울특별시 강남구,2020,9.817137411,6.563389974,579.53,39.5,158.74,3.15,23.6,0,695.8,72,2.97,15.17098912,871.24,0,50.6,57.86,24.88,437.85,36.2,-11.8,1.3,13.4,281.3,1674,5.93,1.48,0.19,981.03,5.75656466,0.19,1601.73,13.3,35.88,30.6,61.1,91.7,894.61,52.3,390,213.45,0.537,33,0.58,0,10.59665973,161.9,511.28,0,100,32220.88,100,34.51,21.88,5.19,0.37,-2.4
11710,서울특별시 송파구,2020,9.088751102,7.007021261,371.73,44.5,168.72,1.65,20.4,0,388.5,46,1.65,15.32076148,819.21,0.15,57.7,70.96,23.95,161.09,35.7,-12,1.6,12.1,348.8,1605.5,2.55,2.69,0.15,404.81,4.470266424,0.15,1029.85,10.8,63.54,25.9,61.3,93.2,893.17,37.6,490,162.43,0.665,28.8,0.53,0,10.59665973,0,0,1.944480556,100,31675.25,100,31.1,24.1,3.14,0.3,-0.1
11740,서울특별시 강동구,2020,8.787803365,6.971321453,422.85,48.5,190.23,1.52,21.7,0,275.7,48,2.61,16.56226803,791.36,0,65.3,67.4,24.19,157.4,35.8,-12.4,1.4,16.9,129.4,1627,3.04,2.39,0.22,319.59,4.421006934,0.65,1293.35,10.1,48.68,28.4,56.4,96.8,875.71,26.3,550,534.17,0.748,28.4,0.32,0,10.30898599,0,0,0,100,29975,100,44.43,19.78,2.83,1.09,7.2
26110,부산광역시 중구,2020,10.30867295,9.383520271,1678.59,55.3,202.3,0,29.7,0,684,135,0,11.46851809,794.74,0,77.6,48.17,19.75,209.52,33.2,-8,3.2,23.6,73.1,2281.6,4.82,2.41,2.41,488.89,5.119011259,2.41,4238.61,16.6,36.83,25.3,53.4,95.5,4503.53,23.6,330,180.62,0.445,48.8,109.22,2.491551193,11.40757606,0,0,0,100,41350.58,100,8.8,4.82,16.86,0,3.1
26140,부산광역시 서구,2020,9.004305873,7.199095652,501.23,42,1012.62,3.7,20.8,0,451.3,81,0.92,12.23535748,810.1,0,52.8,70.28,21.22,104.5,33.1,-8.4,3.2,35.5,106.9,2242.8,3.7,0.92,0.92,1248.44,4.034063631,0.92,5023.35,15.5,57.65,26.5,54.4,93.8,1563.79,12.2,320,856.34,0.661,38.9,9.43,2.135349174,10.30898599,0,0,0,100,38463.03,100,27.29,6.47,6.47,0,-0.7
26170,부산광역시 동구,2020,9.50167925,8.185074265,1401.56,48.3,228.34,4.5,35.7,0,556.8,98,2.25,11.67105072,772.77,0,72.3,76.49,21.26,77.61,32.6,-8.1,3,23.6,73.1,2205.8,5.62,3.37,1.12,407.19,4.433669868,3.37,3361.04,15.8,58.08,23.7,50.9,95.9,1881.87,15.8,490,277.84,0.728,39,31.57,3.126321843,11.00211651,0,0,0,100,37991.7,100,26.66,3.37,11.25,1.12,3.5
26200,부산광역시 영도구,2020,8.744599644,7.07602862,1695.75,37.7,229.39,3.53,29.2,0,292.9,81,0,12.58938747,1336.66,1.76,46.5,63.52,19.43,66.17,32,-8.2,2.8,23.6,73.1,2130,1.76,0.88,0.88,163.22,4.180675152,1.76,1714.28,14.7,62.18,20.7,53.7,97.1,1386.07,9.1,270,318.51,0.577,37.5,6.21,2.714694744,10.30898599,0,2597.45,0,100,41129.5,100,13.54,12.35,7.06,0.88,-5.7
26230,부산광역시 부산진구,2020,9.130428822,6.952776445,685.22,46,207.84,2.22,27.4,0,429,81,0.28,11.48508725,1069.23,0.83,58,99.75,20.41,164.77,35.6,-8.3,1.9,28.8,190.8,2082.5,5.56,0.83,0.28,386.23,4.81656499,0.83,2101.22,16.5,70.56,23.3,53.3,93.5,647.43,19.8,400,419.86,0.621,37.5,3.74,0,10.59665973,368.73,0,0,100,39359.69,100,46.37,7.78,3.06,0,4.1
26260,부산광역시 동래구,2020,8.91979019,6.890710844,456.15,37.9,151.8,1.11,27.6,0,366.8,49,0.37,10.55482762,893.83,0,75,105.63,23.86,204.62,36,-7.5,1.5,24.1,351.6,2094,5.54,0.74,0.37,219.03,4.280547466,1.11,2235.31,15.9,65.03,28.6,56.5,94.8,343.87,20.1,360,394.84,0.801,27.4,1.58,0.19062036,10.59665973,228.63,0,0,100,34926.22,100,35.48,14.04,2.95,0,-2.3
26290,부산광역시 남구,2020,8.748223957,7.380785573,461.66,33.6,107.94,2.24,27.2,0,284.6,58,0,12.43346544,1380.49,1.49,55.1,94.5,19.95,130.73,34.2,-7.8,2.9,31,61.9,2270,2.99,2.99,0.37,134.84,4.113002744,0.37,1260.97,13.1,53.27,28,45.7,95.9,1876.14,19.7,280,411.61,0.675,31.6,1.45,2.02287119,10.59665973,0,0,1.829376333,100,40422.29,100,30.26,9.71,4.86,0,-3.4
26320,부산광역시 북구,2020,8.582308421,6.92532011,296.18,41.7,158.83,3.87,30.5,0,244.4,46,0,11.41137302,874.44,0.35,89.2,120.09,22.34,143.33,37.6,-7.2,2.2,21.9,181,1755,3.52,2.82,0.35,159.18,4.091172871,0.7,1613.65,22.4,69.32,20.4,59.8,98,721.95,12.5,360,225.04,0.771,27.8,0.75,0,10.59665973,771.26,2114.09,0,100,37418.3,100,74.1,22.19,3.52,0,-4.8
26350,부산광역시 해운대구,2020,8.958169577,6.991508019,297.39,35.4,230.5,2.24,24.7,0,227.3,52,0,10.71154565,860.58,0.25,56.8,95.23,22.86,167.34,33.9,-8.1,2,24.2,244.7,1745,2.98,1.99,0.25,228.76,4.401338946,0.5,1491.16,15.1,53.15,26.2,53.6,92.8,869.04,30,330,355.32,0.736,28.3,1.97,0.322083499,10.59665973,427.18,425.19,3.253083996,100,36395.89,100,69.3,12.93,2.98,0.5,-3.2
26380,부산광역시 사하구,2020,8.727335795,7.084452717,1263.48,44.6,135.04,1.6,26.8,0,310.8,64,0.96,11.68390739,1064.93,0.64,72.1,101.04,22.99,134.08,33,-8.8,3.1,35.5,106.9,2204,6.09,1.28,0.32,142.74,4.126166175,0,2346.38,15.2,68.47,29.4,50.6,99.2,1224.67,18.1,350,601.75,0.758,31,0.67,2.3896798,10.59665973,0,0,0,100,37754.08,100,31.19,12.83,2.25,0.64,-5.1
26410,부산광역시 금정구,2020,8.932147798,7.530812558,887.11,33.5,139.26,1.72,30,0,352,64,0.43,11.92438497,1547.71,1.72,63.8,97.13,22.59,169.34,37.2,-8.3,1.6,18.9,182.6,2090.5,4.3,0.43,0.43,139.26,4.148201235,0.43,2521.21,14.7,62.99,26.8,57.8,95.4,1521.92,16.5,280,566.05,0.625,36.1,1.32,1.075002423,10.59665973,0,0,0,100,37280.48,100,82.16,22.35,4.3,0.86,-4
26440,부산광역시 강서구,2020,9.321998019,7.393072307,6736.88,45.7,178.32,7.25,21.1,0,528.4,227,0,13.52733921,1027.86,0,81.3,181.94,23.32,161.64,32.25,-9.45,4.45,38.45,137.8,1927.75,4.35,2.17,0.72,70.31,3.577668525,0,363.88,14.1,38.61,25.9,59.5,106.8,3207.52,45,540,3452.53,1.259,26.1,23.25,5.009234313,11.00211651,696.59,0,3.400863993,100,34902.18,94.4,55.11,134.82,2.9,1.45,10.9
26470,부산광역시 연제구,2020,8.978887393,7.409687473,387.75,41.3,160.17,3.82,20.3,0,355.7,62,0.96,11.26109716,674.13,0.96,64.8,67.41,24.62,143.43,35.9,-8.5,1.9,19.8,285,2160.5,4.78,0.96,0.48,197.46,4.344065128,0.48,2335.57,12.1,66.95,27.7,55.2,92.8,366.71,16.9,390,342.33,0.793,30.4,1.76,0.131028262,10.81979828,0,0,0,100,35896.96,100,29.64,12.91,1.91,0,0.5
26500,부산광역시 수영구,2020,9.044676502,6.931676863,406.46,51,196.73,2.83,40.1,0,376.5,67,0,10.93643411,582.27,0,65.6,101.76,21.72,155.46,34.7,-8.1,2.3,25,197.2,2058.5,5.09,0.57,0.57,228.95,4.271932712,1.13,2385.04,15,51.37,28,52.8,89.6,695.33,18.4,400,366.32,0.656,36.1,2.4,0.31481074,11.00211651,0,0,0,100,39429.26,100,25.49,11.87,2.83,0.57,2.9
26530,부산광역시 사상구,2020,9.217863006,7.542399024,3899.13,41.4,159.94,5.17,28.1,0,433.2,75,0,13.00472475,1072.98,1.41,73.8,118.54,21.59,82.32,35.2,-8.1,2.7,37.8,96.6,2004.5,3.76,1.88,0.47,183.93,3.956422593,0.94,3067.93,18.3,65.52,23.8,54.1,102.1,1937.57,19.9,340,377.26,0.679,34.1,1.06,2.74598804,10.59665973,429.47,2311.54,5.217432638,100,36073.87,100,57.81,17.4,2.82,0.47,-3.4
26710,부산광역시 기장군,2020,8.89954251,6.720063327,988.28,37.6,205.1,4.58,23.1,15.22178274,320.3,106,1.15,12.87707337,913.8,0,83.2,139.79,27.59,132.92,33.2,-7.9,1.9,12.8,22.5,1926,2.86,5.16,0.57,120.89,3.858833177,0.57,1000.89,10.7,51.82,25.2,56.7,98.1,1049.59,30.6,440,3145.32,1.086,27.6,3.66,3.375879574,10.81979828,5626.63,0,6.197299159,100,37549.63,91.9,86.37,86.51,5.16,2.86,9.3
27110,대구광역시 중구,2020,10.23122533,7.11395611,2860.99,49.2,325.29,10.45,26.5,0,926.2,85,0,13.14083842,1105.2,0,67.9,81,24.81,364.48,36.9,-10.8,1.8,14.6,282,1360.2,15.68,0,1.31,1490.59,5.823193814,2.61,4355.49,8.4,37.02,25.8,56,92.6,934.07,25.2,410,765.54,0.788,42.5,53.26,0,11.40757606,651.89,0,0,100,33422.6,100,7.89,24.82,11.76,0,3.6
27140,대구광역시 동구,2020,8.927925736,7.375875886,569.72,44,200.34,6.14,28.2,0,506.3,58,0.58,12.40291091,845.23,0,56.2,121.67,22.12,116.4,36.7,-10.2,1.7,19,83.8,1288,2.92,2.05,0.29,184.84,4.261270434,0.29,1178.64,12,55.38,19,61,97.1,516.2,17.9,380,965.72,0.82,31.9,3.21,0.615185639,10.81979828,1824.11,608.33,5.765817866,100,36031.53,99,82.62,31.59,3.8,0,-0.2
